"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2018-09-04",1,FALSE,"1036791698075136003",FALSE,NA,NA,"1036782772579393536","BarkyBoogz","60370335",0,FALSE,"ColorMeTiff","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@BarkyBoogz I was going to warn her! She might want to sit this one out. @jemelehill ain’t the one. Then I decided… https://t.co/xykrtInzd5",TRUE
"2018-09-04",0,FALSE,"1036791696875573248",FALSE,NA,NA,NA,NA,NA,0,FALSE,"EDMalveaux","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Black People Mind Your Own Business: Part Deux https://t.co/MCTvz69dnh via @YouTube",FALSE
"2018-09-04",0,FALSE,"1036791696493764614",TRUE,NA,NA,NA,NA,NA,3,FALSE,"jbgene","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @nytimestech: Tech workers are pushing back against federal contracts, particularly with the Pentagon. Our @andrewrsorkin explains why t…",FALSE
"2018-09-04",0,FALSE,"1036791695503843328",TRUE,NA,NA,NA,NA,NA,758,FALSE,"workexpert","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @RogueSNRadvisor: Nike is smart, but this was inevitable. Eventually every brand &amp; business will come to realize that there's more value…",FALSE
"2018-09-04",0,FALSE,"1036791695239782400",TRUE,NA,NA,NA,NA,NA,14,FALSE,"BuffyResists","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @exoticgamora: Truly believe trump thinks financial crimes aren't really crimes, that they're just part of succeeding in business",FALSE
"2018-09-04",0,FALSE,"1036791694291881985",TRUE,NA,NA,NA,NA,NA,48,FALSE,"t_deeee","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @lilleyahhh: why is it so hard for mfs to mind they business.. always worried about da next mf 🤦🏻‍♀️",FALSE
"2018-09-04",0,FALSE,"1036791692689592320",TRUE,NA,NA,NA,NA,NA,1596,FALSE,"Wblscott1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @OliverMcGee: Retweet if you believe @POTUS has kept his promises made to blacks.

Black unemployment is at record lows. Black business…",FALSE
"2018-09-04",3,FALSE,"1036791692056190977",FALSE,NA,NA,NA,NA,NA,0,FALSE,"lilangeezy","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mind yo business 🤭",FALSE
"2018-09-04",0,FALSE,"1036791691733286912",TRUE,NA,NA,NA,NA,NA,1,FALSE,"mohamedbhimji","<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","RT @tecnbiz: How to Boost Your Business with Augmented Reality? #ar #technology  https://t.co/Wqg8SuymiC",FALSE
"2018-09-04",0,FALSE,"1036791690823065600",TRUE,NA,NA,NA,NA,NA,63,FALSE,"vanilla_kom","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BoF: Over the weekend, Chiara Ferragni got married in not one, but two custom @Dior Haute Couture dresses. Take a closer look at the de…",FALSE
"2018-09-04",0,FALSE,"1036791689652908033",TRUE,NA,NA,NA,NA,NA,78,FALSE,"kind_des_kriege","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @meyers48: She means business! 👏👔 https://t.co/F2iqhj6XQ7",FALSE
"2018-09-04",0,FALSE,"1036791686670807041",TRUE,NA,NA,NA,NA,NA,2532,FALSE,"Take_Me_Home","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @JOEL9ONE: Nike is a huge business. They’ve calculated risk. They may even have reason to believe this will make the brand more popular…",FALSE
"2018-09-04",0,FALSE,"1036791686255456256",FALSE,NA,NA,NA,NA,NA,0,FALSE,"Job_Cart","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Position: Internship (Marketing/Business Administration)

Click here to apply or to know more:… https://t.co/d8xTOgKZXx",TRUE
"2018-09-04",0,FALSE,"1036791685961932800",TRUE,NA,NA,NA,NA,NA,758,FALSE,"AlfredSandy","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @RogueSNRadvisor: Nike is smart, but this was inevitable. Eventually every brand &amp; business will come to realize that there's more value…",FALSE
"2018-09-04",0,FALSE,"1036791685701877760",TRUE,NA,NA,NA,NA,NA,6,FALSE,"jyochamoli","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @krkexperience: Poland Business Run took place in #Krakow yesterday! The charity event gathered over 6K participants who helped to raise…",FALSE
"2018-09-04",0,FALSE,"1036791683835486209",FALSE,NA,NA,NA,NA,NA,0,FALSE,"sarrxsubs","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","y’all gotta start minding your business lol",FALSE
"2018-09-04",0,FALSE,"1036791682077999104",TRUE,NA,NA,NA,NA,NA,106,FALSE,"tudorqueenAB","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @shannoncoulter: Reminder that Nike also made a very smart business when it recently pulled its iconic Niketown, one of Donald's most lu…",FALSE
"2018-09-04",0,FALSE,"1036791681348235264",TRUE,NA,NA,NA,NA,NA,15257,FALSE,"amandadoun12","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BajanShvm: The “Damn, mind ya business” face she gave him 😂💀 https://t.co/IzturQ0CO7",FALSE
"2018-09-04",0,FALSE,"1036791681134153730",FALSE,NA,NA,NA,NA,NA,1,FALSE,"MFATgovtNZ","<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","2017 Young Maori Business Leader Award winner and Kai Ora Honey CEO Blanche Morrogh shares how whanau &amp; community a… https://t.co/uPxhML7nkP",TRUE
"2018-09-04",0,FALSE,"1036791680689729537",TRUE,NA,NA,NA,NA,NA,2532,FALSE,"IAmQueenD_","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @JOEL9ONE: Nike is a huge business. They’ve calculated risk. They may even have reason to believe this will make the brand more popular…",FALSE
"2018-09-04",0,FALSE,"1036791680568119296",TRUE,NA,NA,NA,NA,NA,4551,FALSE,"Deliver_Truth","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @RealCandaceO: Congratulations to @adidas for a wonderful win in business today! 

They are proof that sometimes all you have to do is s…",FALSE
"2018-09-04",0,FALSE,"1036791678839881729",TRUE,NA,NA,NA,NA,NA,2,FALSE,"perrybwilliams","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @mattchambers1: The APPEA oil and gas lobby is searching for a new chief as political focus on Oz gas industry sharpens https://t.co/cG8…",FALSE
"2018-09-04",0,FALSE,"1036791678361722880",TRUE,NA,NA,NA,NA,NA,15257,FALSE,"sanchezcinthiaa","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BajanShvm: The “Damn, mind ya business” face she gave him 😂💀 https://t.co/IzturQ0CO7",FALSE
"2018-09-04",0,FALSE,"1036791678357721089",TRUE,NA,NA,NA,NA,NA,758,FALSE,"eloiseat6","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @RogueSNRadvisor: Nike is smart, but this was inevitable. Eventually every brand &amp; business will come to realize that there's more value…",FALSE
"2018-09-04",0,FALSE,"1036791677636300802",FALSE,NA,NA,NA,NA,NA,0,FALSE,"smailliwja__","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Business Owner https://t.co/jLWp8p4izl",FALSE
"2018-09-04",0,FALSE,"1036791677351079936",TRUE,NA,NA,NA,NA,NA,3,FALSE,"aanand_shilpi","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Kanwal33: 7) clarified the following :-

a. In which years were these companies registered?

b. How many of these companies were defunt…",FALSE
